START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/10/23,01:10 PM,03:10 PM,Padres at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",06/10/23,06/10/23,04:10 PM,06:10 PM,FALSE,TRUE,06/10/23,12:10 PM,02:10 PM,FREE,BUSY
06/11/23,01:10 PM,03:10 PM,Padres at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",06/11/23,06/11/23,04:10 PM,06:10 PM,FALSE,TRUE,06/11/23,12:10 PM,02:10 PM,FREE,BUSY
06/12/23,05:10 PM,07:10 PM,Rockies at Red Sox,Fenway Park - Boston,"",06/12/23,06/12/23,08:10 PM,10:10 PM,FALSE,TRUE,06/12/23,04:10 PM,06:10 PM,FREE,BUSY
06/13/23,05:10 PM,07:10 PM,Rockies at Red Sox,Fenway Park - Boston,"",06/13/23,06/13/23,08:10 PM,10:10 PM,FALSE,TRUE,06/13/23,04:10 PM,06:10 PM,FREE,BUSY
06/14/23,05:10 PM,07:10 PM,Rockies at Red Sox,Fenway Park - Boston,"",06/14/23,06/14/23,08:10 PM,10:10 PM,FALSE,TRUE,06/14/23,04:10 PM,06:10 PM,FREE,BUSY
06/15/23,05:20 PM,07:20 PM,Rockies at Braves,Truist Park - Atlanta,"",06/15/23,06/15/23,08:20 PM,10:20 PM,FALSE,TRUE,06/15/23,04:20 PM,06:20 PM,FREE,BUSY
06/16/23,05:20 PM,07:20 PM,Rockies at Braves,Truist Park - Atlanta,"",06/16/23,06/16/23,08:20 PM,10:20 PM,FALSE,TRUE,06/16/23,04:20 PM,06:20 PM,FREE,BUSY
06/17/23,02:10 PM,04:10 PM,Rockies at Braves,Truist Park - Atlanta,"",06/17/23,06/17/23,05:10 PM,07:10 PM,FALSE,TRUE,06/17/23,01:10 PM,03:10 PM,FREE,BUSY
06/18/23,11:30 AM,01:30 PM,Rockies at Braves,Truist Park - Atlanta,"",06/18/23,06/18/23,02:30 PM,04:30 PM,FALSE,TRUE,06/18/23,10:30 AM,12:30 PM,FREE,BUSY
06/19/23,05:10 PM,07:10 PM,Rockies at Reds,Great American Ball Park - Cincinnati,"",06/19/23,06/19/23,08:10 PM,10:10 PM,FALSE,TRUE,06/19/23,04:10 PM,06:10 PM,FREE,BUSY
06/20/23,05:10 PM,07:10 PM,Rockies at Reds,Great American Ball Park - Cincinnati,"",06/20/23,06/20/23,08:10 PM,10:10 PM,FALSE,TRUE,06/20/23,04:10 PM,06:10 PM,FREE,BUSY
06/21/23,10:35 AM,12:35 PM,Rockies at Reds,Great American Ball Park - Cincinnati,"",06/21/23,06/21/23,01:35 PM,03:35 PM,FALSE,TRUE,06/21/23,09:35 AM,11:35 AM,FREE,BUSY
06/23/23,06:40 PM,08:40 PM,Angels at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",06/23/23,06/23/23,09:40 PM,11:40 PM,FALSE,TRUE,06/23/23,05:40 PM,07:40 PM,FREE,BUSY
06/24/23,07:10 PM,09:10 PM,Angels at Rockies,Coors Field - Denver,"",06/24/23,06/25/23,10:10 PM,12:10 AM,FALSE,TRUE,06/24/23,06:10 PM,08:10 PM,FREE,BUSY
06/25/23,01:10 PM,03:10 PM,Angels at Rockies,Coors Field - Denver,"",06/25/23,06/25/23,04:10 PM,06:10 PM,FALSE,TRUE,06/25/23,12:10 PM,02:10 PM,FREE,BUSY
