START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
09/28/22,07:45 PM,09:45 PM,Rockies at Giants,Oracle Park - San Francisco,"Local TV: ATT SportsNet-RM",09/28/22,09/29/22,10:45 PM,12:45 AM,FALSE,TRUE,09/28/22,06:45 PM,08:45 PM,FREE,BUSY
09/29/22,07:45 PM,09:45 PM,Rockies at Giants,Oracle Park - San Francisco,"Local TV: ATT SportsNet-RM",09/29/22,09/30/22,10:45 PM,12:45 AM,FALSE,TRUE,09/29/22,06:45 PM,08:45 PM,FREE,BUSY
09/30/22,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"Local TV: ATT SportsNet-RM",09/30/22,10/01/22,11:10 PM,01:10 AM,FALSE,TRUE,09/30/22,07:10 PM,09:10 PM,FREE,BUSY
10/01/22,07:10 PM,09:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"Local TV: ATT SportsNet-RM",10/01/22,10/02/22,10:10 PM,12:10 AM,FALSE,TRUE,10/01/22,06:10 PM,08:10 PM,FREE,BUSY
10/02/22,02:10 PM,04:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"Local TV: ATT SportsNet-RM",10/02/22,10/02/22,05:10 PM,07:10 PM,FALSE,TRUE,10/02/22,01:10 PM,03:10 PM,FREE,BUSY
10/03/22,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"Local TV: MLBN (out-of-market only) ----- Local Radio: KOA 850 AM",10/03/22,10/04/22,11:10 PM,01:10 AM,FALSE,TRUE,10/03/22,07:10 PM,09:10 PM,FREE,BUSY
10/04/22,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",10/04/22,10/05/22,11:10 PM,01:10 AM,FALSE,TRUE,10/04/22,07:10 PM,09:10 PM,FREE,BUSY
10/05/22,02:20 PM,04:20 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"Local TV: FS1 ----- Local Radio: KOA 850 AM",10/05/22,10/05/22,05:20 PM,07:20 PM,FALSE,TRUE,10/05/22,01:20 PM,03:20 PM,FREE,BUSY
02/25/23,01:10 PM,03:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",02/25/23,02/25/23,04:10 PM,06:10 PM,FALSE,TRUE,02/25/23,12:10 PM,02:10 PM,FREE,BUSY
02/26/23,,,Brewers at Rockies - Time TBD,Salt River Fields at Talking Stick - Scottsdale,"",02/26/23,02/26/23,,,FALSE,TRUE,02/26/23,,,FREE,BUSY
