START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
05/13/15,08:05 PM,10:05 PM,Rockies at Angels,Angel Stadium of Anaheim,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network",05/13/15,05/14/15,11:05 PM,01:05 AM,FALSE,TRUE,05/13/15,07:05 PM,09:05 PM,FREE,BUSY
05/14/15,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network",05/14/15,05/15/15,11:10 PM,01:10 AM,FALSE,TRUE,05/14/15,07:10 PM,09:10 PM,FREE,BUSY
05/15/15,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850",05/15/15,05/16/15,11:10 PM,01:10 AM,FALSE,TRUE,05/15/15,07:10 PM,09:10 PM,FREE,BUSY
05/16/15,07:10 PM,09:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850",05/16/15,05/17/15,10:10 PM,12:10 AM,FALSE,TRUE,05/16/15,06:10 PM,08:10 PM,FREE,BUSY
05/17/15,02:10 PM,04:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850",05/17/15,05/17/15,05:10 PM,07:10 PM,FALSE,TRUE,05/17/15,01:10 PM,03:10 PM,FREE,BUSY
05/18/15,06:40 PM,08:40 PM,Phillies at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850 -- KNRV 1150",05/18/15,05/18/15,09:40 PM,11:40 PM,FALSE,TRUE,05/18/15,05:40 PM,07:40 PM,FREE,BUSY
05/19/15,06:40 PM,08:40 PM,Phillies at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- KOA 850 -- Rockies Radio Network",05/19/15,05/19/15,09:40 PM,11:40 PM,FALSE,TRUE,05/19/15,05:40 PM,07:40 PM,FREE,BUSY
05/20/15,06:40 PM,08:40 PM,Phillies at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850 -- KNRV 1150",05/20/15,05/20/15,09:40 PM,11:40 PM,FALSE,TRUE,05/20/15,05:40 PM,07:40 PM,FREE,BUSY
05/21/15,01:10 PM,03:10 PM,Phillies at Rockies,Coors Field,"Local TV: MLBN ----- Local Radio: KNRV 1150 -- KOA 850 -- Rockies Radio Network",05/21/15,05/21/15,04:10 PM,06:10 PM,FALSE,TRUE,05/21/15,12:10 PM,02:10 PM,FREE,BUSY
05/22/15,06:10 PM,08:10 PM,Giants at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- Rockies Radio Network -- KOA 850",05/22/15,05/22/15,09:10 PM,11:10 PM,FALSE,TRUE,05/22/15,05:10 PM,07:10 PM,FREE,BUSY
05/23/15,07:10 PM,09:10 PM,Giants at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- Rockies Radio Network -- KOA 850",05/23/15,05/24/15,10:10 PM,12:10 AM,FALSE,TRUE,05/23/15,06:10 PM,08:10 PM,FREE,BUSY
